size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 50.50, 50.45, 50.83, 50.38, 70.40, 50.59, 0.94
0.02, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 1.22
0.03, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 1.67
0.04, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 2.06
0.05, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 2.30
0.06, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 2.79
0.07, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 3.25
0.08, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 3.62
0.09, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 3.98
0.1, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 4.28
0.2, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 8.24
0.3, 50.50, 50.50, 100.00, 100.00, 100.00, 67.06, 13.17
0.4, 50.50, 50.74, 52.14, 51.40, 70.23, 51.38, 16.83
0.5, 50.50, 50.74, 52.14, 51.40, 70.23, 51.38, 22.12
0.6, 50.50, 50.52, 55.29, 54.77, 70.70, 52.75, 24.32
0.7, 50.50, 50.52, 55.29, 54.77, 70.70, 52.75, 28.78
0.8, 50.50, 50.73, 53.76, 53.04, 70.36, 52.15, 32.34
0.9, 50.50, 50.76, 53.58, 52.82, 70.32, 52.08, 36.89
1, 50.50, 50.74, 52.14, 51.40, 70.23, 51.38, 41.70
5, 50.50, 51.39, 16.26, 15.51, 85.17, 24.66, 208.94
10, 50.50, 50.36, 71.65, 71.36, 76.78, 59.10, 427.98
15, 50.50, 50.33, 86.09, 85.93, 87.05, 63.48, 687.31
20, 50.50, 50.10, 67.51, 67.43, 74.84, 57.47, 1076.08
25, 50.50, 50.01, 49.52, 49.51, 70.70, 49.72, 1519.13
30, 50.50, 50.29, 53.39, 53.10, 70.66, 51.74, 1920.98
35, 50.50, 50.55, 45.19, 44.65, 70.69, 47.67, 2336.10
40, 50.50, 50.12, 51.07, 50.95, 70.64, 50.54, 2876.91
45, 50.50, 50.96, 40.23, 39.31, 71.54, 44.92, 3240.17
50, 50.50, 50.60, 78.62, 78.21, 81.08, 61.52, 3628.16
55, 50.50, 50.78, 39.05, 38.31, 71.99, 44.10, 4426.03
60, 50.50, 49.97, 57.26, 57.30, 71.48, 53.32, 4605.35
65, 50.50, 49.89, 47.46, 47.58, 70.88, 48.60, 4959.11
70, 50.50, 50.01, 49.49, 49.48, 70.70, 49.70, 5463.04
75, 50.50, 50.84, 39.75, 38.95, 71.74, 44.57, 5838.63
80, 50.50, 50.88, 40.23, 39.39, 71.58, 44.88, 6237.82
85, 50.50, 51.06, 18.66, 18.03, 83.31, 27.29, 6724.43
90, 50.50, 50.84, 39.75, 38.95, 71.74, 44.57, 7085.99
95, 50.50, 50.85, 37.59, 36.79, 72.45, 43.17, 7494.52
100, 50.50, 50.15, 27.60, 27.49, 77.44, 35.56, 7812.61
