size, accuracy, precision, recall, fa, d2h, f1, time
0.01, 49.23, 49.56, 51.87, 52.31, 71.08, 50.64, 0.00
0.02, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.03, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.04, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.05, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.06, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.07, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.08, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.09, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.1, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.00
0.2, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.01
0.3, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.01
0.4, 49.23, 49.23, 100.00, 100.00, 100.00, 65.93, 0.02
0.5, 49.23, 49.14, 52.19, 53.05, 71.41, 50.57, 0.02
0.6, 49.23, 48.92, 51.62, 52.70, 71.54, 50.18, 0.02
0.7, 49.23, 48.91, 52.47, 53.56, 71.61, 50.57, 0.03
0.8, 49.23, 49.02, 58.82, 59.76, 72.58, 53.43, 0.03
0.9, 49.23, 48.96, 53.48, 54.50, 71.66, 51.07, 0.04
1, 49.23, 48.96, 53.48, 54.50, 71.66, 51.07, 0.04
5, 49.23, 49.59, 48.92, 49.34, 71.01, 49.20, 0.20
10, 49.24, 48.11, 16.65, 17.73, 85.21, 24.70, 0.44
15, 49.25, 48.07, 45.76, 47.69, 72.22, 46.84, 0.67
20, 49.23, 50.17, 52.06, 51.89, 70.65, 51.05, 1.08
25, 49.23, 51.27, 21.48, 20.63, 81.19, 30.23, 1.44
30, 49.23, 49.31, 62.31, 62.95, 73.37, 55.00, 1.89
35, 49.23, 51.27, 21.48, 20.63, 81.19, 30.23, 2.25
40, 49.23, 49.63, 71.82, 72.11, 77.43, 58.65, 2.81
45, 49.23, 50.99, 22.51, 21.83, 80.50, 31.19, 3.23
50, 49.23, 49.66, 71.22, 71.50, 77.07, 58.47, 3.56
55, 49.23, 50.26, 42.46, 42.21, 71.36, 45.98, 3.97
60, 49.23, 49.56, 50.15, 50.59, 71.03, 49.80, 4.45
65, 49.23, 49.66, 49.93, 50.27, 70.95, 49.75, 5.02
70, 49.23, 49.58, 50.01, 50.43, 71.01, 49.75, 5.55
75, 49.23, 49.46, 89.64, 89.84, 90.44, 63.70, 5.92
80, 49.23, 49.43, 88.23, 88.46, 89.24, 63.31, 6.37
85, 49.23, 49.45, 57.54, 58.07, 71.94, 53.14, 7.11
90, 49.23, 49.43, 88.12, 88.35, 89.15, 63.28, 7.54
95, 49.23, 48.97, 66.39, 67.30, 75.23, 56.32, 8.01
100, 49.23, 49.04, 60.34, 61.26, 72.98, 54.06, 8.60
